"","age","annual_salary","professional_experience_years","highest_edu_level","gender","industry","job_title"
"7253","25-34",50000,"5-7 years","Master's degree","Woman","Research and Development, Food and Beverage ","Associate Scientist"
"7254","35-44",101000,"11 - 20 years","Master's degree","Woman","Health care","Nurse Practitioner"
"7255","25-34",62400,"2 - 4 years","College degree","Woman","Publishing","Production Editor"
"7256","35-44",49750,"11 - 20 years","College degree","Woman","Health care","head athletic trainer"
"7257","25-34",62000,"8 - 10 years","College degree","Woman","Insurance","Commercial Account Manager"
"7258","35-44",108000,"11 - 20 years","Master's degree","Woman","Property or Construction","Architect"
"7259","25-34",65000,"5-7 years","Master's degree","Woman","Nonprofits","Senior Policy Specialist"
"7260","45-54",119000,"21 - 30 years","Master's degree","Man","Computing or Tech","Program Manager"
"7261","18-24",85000,"2 - 4 years","College degree","Woman","Media & Digital","Senior Analyst"
"7262","25-34",50000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Finance & Operations"
"7263","25-34",75000,"11 - 20 years","College degree","Woman","Nonprofits","Director of Data & Analytics"
"7264","25-34",70000,"8 - 10 years","College degree","Woman","Nonprofits","Marketing Operations Manager"
"7265","25-34",60000,"8 - 10 years","College degree","Woman","Computing or Tech","Project Manager"
"7266","35-44",54080,"11 - 20 years","College degree","Woman","Nonprofits","Supervisor"
"7267","55-64",93132,"31 - 40 years","Master's degree","Woman","Government and Public Administration","Art-in-Architecture Manager"
"7268","35-44",103000,"11 - 20 years","College degree","Woman","Engineering or Manufacturing","Quality Engineer"
"7269","45-54",115000,"21 - 30 years","College degree","Woman","Property or Construction","Office Manager/HR Manager"
"7270","25-34",70000,"8 - 10 years","Master's degree","Woman","Social Work","Youth Program Counselor"
"7271","25-34",67900,"11 - 20 years","College degree","Woman","Health care","Registered Nurse"
"7272","25-34",82500,"5-7 years","College degree","Woman","Computing or Tech","content marketing manager"
"7273","35-44",70000,"11 - 20 years","College degree","Woman","Computing or Tech","Project Manager"
"7274","35-44",70000,"11 - 20 years","College degree","Woman","Art & Design","Graphic Designer"
"7275","35-44",71000,"21 - 30 years","Master's degree","Woman","Public Libraries","Adult Services Manager"
"7276","35-44",43680,"8 - 10 years","College degree","Woman","IT Security","Risk Assessment Analyst"
"7277","35-44",160000,"8 - 10 years","Professional degree (MD, JD, etc.)","Man","Law","eDiscovery Project Manager"
"7278","35-44",82000,"5-7 years","PhD","Woman","Education (Higher Education)","Research Development Specialist"
"7279","45-54",55000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Program accountant"
"7280","35-44",58500,"11 - 20 years","College degree","Woman","FinTech/Payment Processing","Merchant Services Operations Specialist"
"7281","35-44",217000,"11 - 20 years","College degree","Woman","Health care","Associate Director, marketing"
"7282","25-34",75000,"5-7 years","College degree","Woman","Lobbying and consulting","Associate"
"7283","35-44",40000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Chaplain","Chaplain resident"
"7284","25-34",180000,"2 - 4 years","PhD","Woman","Computing or Tech","Director of Data Science"
"7285","35-44",118268,"31 - 40 years","Master's degree","Woman","Health care","Nurse Practitioner"
"7286","35-44",38000,"11 - 20 years","College degree","Woman","Nonprofits","Coordinator"
"7287","25-34",110000,"8 - 10 years","College degree","Woman","Recruitment or HR","Head of Talent Acquisition"
"7288","35-44",1e+05,"11 - 20 years","Master's degree","Woman","Education (Higher Education)","Academic Services Director"
"7289","35-44",64000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Staff Attorney"
"7290","35-44",67000,"8 - 10 years","PhD","Woman","Education (Higher Education)","Associate Director"
"7291","25-34",52000,"5-7 years","Master's degree","Woman","Nonprofits","Development and Data Specialist"
"7292","45-54",21000,"11 - 20 years","College degree","Woman","Retail","Retail associate"
"7293","45-54",80000,"31 - 40 years","College degree","Woman","Accounting, Banking & Finance","Senior Executive Assistant"
"7294","45-54",70100,"21 - 30 years","College degree","Woman","Education (Higher Education)","IT Help Desk Manager"
"7295","45-54",57250,"5-7 years","College degree","Woman","Insurance","Recruiting Coordinator"
"7296","25-34",138000,"8 - 10 years","College degree","Woman","Computing or Tech","Senior Technical Program Manager Lead"
"7297","35-44",45000,"8 - 10 years","College degree","Woman","Accounting, Banking & Finance","Accounting Assistant"
"7298","25-34",120000,"11 - 20 years","Master's degree","Woman","Computing or Tech","Software Developer / Consultant"
"7299","35-44",40000,"21 - 30 years","College degree","Woman","Accounting, Banking & Finance","Office and Project Manager"
"7300","25-34",75000,"8 - 10 years","Master's degree","Woman","Nonprofits","Assistant Director of Major Gifts"
"7301","35-44",99500,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Managing Attorney"
"7302","45-54",95000,"21 - 30 years","College degree","Woman","Computing or Tech","Human Resources & Payroll Manager"
"7303","35-44",175000,"21 - 30 years","Master's degree","Woman","Computing or Tech","lead software engineer"
"7304","35-44",45000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Grants Coordinator"
"7305","35-44",120000,"21 - 30 years","Master's degree","Woman","Nonprofits","Director of education and family engagement"
"7306","18-24",31200,"2 - 4 years","College degree","Woman","Scientific Research","Research Assistant"
"7307","35-44",130000,"11 - 20 years","College degree","Woman","Food","Personal chef"
"7308","35-44",52500,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Project Manager"
"7309","35-44",120000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Paid Search Manager"
"7310","55-64",81600,"11 - 20 years","PhD","Woman","Education (Higher Education)","Associate Professor"
"7311","25-34",32000,"8 - 10 years","Master's degree","Woman","Nonprofits","Communications & Program Administration Manager"
"7312","35-44",127800,"11 - 20 years","College degree","Woman","Biotech","Senior project manager"
"7313","35-44",120000,"11 - 20 years","Professional degree (MD, JD, etc.)","Woman","Law","Managing Associate"
"7314","35-44",73611,"11 - 20 years","Master's degree","Woman","Mental health therapist","Mental health therapist"
"7315","65 or over",91000,"11 - 20 years","College degree","Woman","Nonprofits","Major Gift Officer"
"7316","25-34",42000,"2 - 4 years","Master's degree","Woman","Nonprofits","Membership Relationship Manager"
"7317","35-44",55000,"8 - 10 years","PhD","Woman","Education (Higher Education)","postdoctoral fellow"
"7318","35-44",55000,"11 - 20 years","Master's degree","Woman","Library","Children's Services Librarian"
"7319","25-34",55000,"11 - 20 years","Master's degree","Woman","Social Work","Mental Health Counselor"
"7320","25-34",112000,"8 - 10 years","College degree","Woman","Marketing, Advertising & PR","Digital Media Project Manager"
"7321","35-44",95000,"11 - 20 years","College degree","Woman","Computing or Tech","Support Manager"
"7322","18-24",68000,"1 year or less","Master's degree","Woman","Government and Public Administration","Financial Analyst"
"7323","35-44",168000,"11 - 20 years","College degree","Woman","Retail","Director, Human Resources "
"7324","35-44",16000,"11 - 20 years","Master's degree","Man","Engineering or Manufacturing","Director"
"7325","25-34",70000,"5-7 years","College degree","Woman","Marketing, Advertising & PR","Marketing and Public Relations Specialist"
"7326","35-44",84000,"11 - 20 years","Master's degree","Man","Nonprofits","HR Manager"
"7327","65 or over",52000,"31 - 40 years","College degree","Woman","Computing or Tech","Admin Assistant"
"7328","25-34",95000,"8 - 10 years","College degree","Woman","Nonprofits","Director of Development"
"7329","25-34",33280,"11 - 20 years","College degree","Woman","Caregiver","Care Professional"
"7330","25-34",93013,"8 - 10 years","Master's degree","Man","Computing or Tech","Data Analyst"
"7331","25-34",134782,"11 - 20 years","College degree","Woman","Government and Public Administration","Senior Program Analyst"
"7332","25-34",170000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate"
"7333","35-44",56500,"11 - 20 years","Master's degree","Woman","Library","Branch Manager"
"7334","35-44",55086,"11 - 20 years","Master's degree","Woman","Health care","Clinical Research Manager"
"7335","35-44",150000,"21 - 30 years","Professional degree (MD, JD, etc.)","Woman","Law","Attorney (Junior Partner)"
"7336","25-34",45000,"2 - 4 years","PhD","Woman","Education (Higher Education)","postdoctoral scholar"
"7337","25-34",75000,"2 - 4 years","PhD","Woman","Education (Higher Education)","Lecturer"
"7338","35-44",141000,"11 - 20 years","College degree","Woman","Computing or Tech","UI/UX Developer"
"7339","35-44",108000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Associate Director, Office of Sponsored Programs"
"7340","25-34",112500,"8 - 10 years","College degree","Woman","Computing or Tech","Sr. Campaign Manager"
"7341","35-44",55862,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Head of Youth Services"
"7342","25-34",38000,"5-7 years","Master's degree","Woman","Nonprofits","Fundraising coordinator"
"7343","25-34",80000,"5-7 years","Master's degree","Woman","Government and Public Administration","Management Analyst"
"7344","25-34",115000,"2 - 4 years","Professional degree (MD, JD, etc.)","Man","Government and Public Administration","Counsel"
"7345","25-34",55600,"5-7 years","College degree","Woman","Leisure, Sport & Tourism","Vehicle Repair Supervisor"
"7346","45-54",120000,"21 - 30 years","College degree","Woman","Engineering or Manufacturing","IT Manager"
"7347","25-34",35350,"11 - 20 years","College degree","Woman","Food Service --- Baking","Baker"
"7348","55-64",65163,"31 - 40 years","Professional degree (MD, JD, etc.)","Woman","Health care","Chaplain"
"7349","25-34",85000,"5-7 years","College degree","Woman","Education (Higher Education)","Assoc Dir Data Analysis"
"7350","25-34",182000,"2 - 4 years","Professional degree (MD, JD, etc.)","Woman","Law","Associate Attorney"
"7351","55-64",140000,"31 - 40 years","Professional degree (MD, JD, etc.)","Woman","Health care","attorney"
"7352","25-34",85000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Director of Development"
"7353","35-44",60000,"11 - 20 years","College degree","Woman","Accounting, Banking & Finance","Staff Accountant"
"7354","35-44",52500,"8 - 10 years","College degree","Woman","Education (Higher Education)","web developer"
"7355","25-34",53000,"11 - 20 years","College degree","Woman","Education (Higher Education)","Administrative Assistant"
"7356","35-44",160000,"11 - 20 years","Master's degree","Woman","Accounting, Banking & Finance","Senior vice president"
"7357","25-34",65000,"8 - 10 years","College degree","Woman","Computing or Tech","National Success Manager"
"7358","35-44",135000,"11 - 20 years","College degree","Woman","Nonprofits","Lead Product Manager"
"7359","45-54",52000,"21 - 30 years","College degree","Woman","Health care","Marketing Director"
"7360","25-34",90000,"8 - 10 years","Master's degree","Woman","Nonprofits","Director of Development"
"7361","35-44",37000,"11 - 20 years","High School","Woman","Property or Construction","Inside Sales"
"7362","25-34",70288,"11 - 20 years","Master's degree","Woman","Government and Public Administration","Museum curator"
"7363","25-34",54500,"8 - 10 years","Master's degree","Woman","Law","HR Coordinator & Recruiter"
"7364","25-34",46000,"8 - 10 years","College degree","Woman","Education (Higher Education)","Program Coordinator"
"7365","under 18",29120,"2 - 4 years","High School","Woman","Health care","Intern"
"7366","35-44",150000,"8 - 10 years","PhD","Woman","Computing or Tech","Data Scientist"
"7367","45-54",66000,"21 - 30 years","Master's degree","Woman","library","Librarian"
"7368","25-34",65000,"8 - 10 years","Master's degree","Woman","Education (Higher Education)","Assistant Director of Study Abroad"
"7369","25-34",65000,"5-7 years","College degree","Woman","Nonprofits","Director of Engagement"
"7370","45-54",170000,"11 - 20 years","College degree","Woman","Business or Consulting","Account Executive"
"7371","35-44",52000,"21 - 30 years","High School","Woman","Manufacturing","Executive Assistant to President"
"7372","35-44",45000,"11 - 20 years","Master's degree","Man","Education (Higher Education)","Library Assistant IV"
"7373","35-44",208000,"11 - 20 years","College degree","Woman","Marketing, Advertising & PR","Digital Marketing Consultant"
"7374","35-44",1,"8 - 10 years","Master's degree","Man","Computing or Tech","Software Development Lead"
